rank,address,liquid,staked,market,total
1,terra1sffd4efk2jpdt894r04qwmtjqrrjfc52tmj6vkzjxqhd8qqu2drs3m5vzm,5828,0,0,5828
2,terra1h8psjgcsg9fef7w2yv0j6262sfcaszj8vs4tsy3uwla6zwtaspvqrp4l7v,898,0,0,898
3,terra1yct7ls8kw3x2ucm66rxg7mgtyvw7kr5v4t4xsx,422,165,0,422
4,terra1dyh999cuqjkhadpfhh878sar73mrzy65695309,324,324,0,324
5,terra1hr8zsfpch47qygc96c8e6rzkd2t7mafqx77ulw,267,258,0,267
6,terra10kwrzdaxhlp0d4ffr36ds4gkcq8w726dpum2t3,124,0,0,124
7,terra1nn7yrgjzj6zvle7ms9vlpg4cj3kaxjls4g6ugw,0,0,0,100
8,terra1my2fdaqu523g2vfv72p43wkaaa8lqf0ks2xt53,58,0,10,68
9,terra10pa0qv7mrqst053zhv9hxxt9mwhmr45ggguygs,57,0,0,57
10,terra13qjxhnw98lm36rxc9yjakkmulhpv7zctdc5zlz,51,51,0,51
11,terra1n8utaly5st5du65fgaqawhrkvm0qrlfws9kymc,43,43,0,43
12,terra1j3ynfcuzl9e5y33ts9lcfxcteh7xg2a3zzc7gm,38,38,0,38
13,terra1tt6th4t29j9g9u6nlgdggwh6gx4ea399fg8aht,37,0,0,37
14,terra18au39029aa4mey00fap4l74c936l8efjuqhf6u,34,10,1,35
15,terra175qc8zprp4e0tn2d57rsajrw7pr52mvny6hld0,0,0,33,33
16,terra1d0jq9l5narcgy46v5agnv8hqmn5m8kj3lkh93l,31,0,0,31
17,terra1alxk3fmhcl0ga80gl9yj9zp3ezjm4sdh8a9l9c,27,27,0,27
18,terra1zgu5w9ddpdt5ft36qn8cags0h8rz2uswr95p98,26,0,0,26
19,terra1fjd6thl0dqh6e5wv9z7rdrqzmtp0xau7fdejpq,26,26,0,26
20,terra1fsxuvu22sd4y28zvdrxnf0jekmcfutn8uw5kpv,23,23,0,23
21,terra1x0njjcge9xykawm7dy48va89vj6wvj77wy3a6k,22,12,0,23
22,terra1tgvlyhnqyxgwuw07h986jtnjhkcz72es3u33a9,21,21,0,21
23,terra1w5cjcvdkl004fzf0gxl8g8wga90kgk7pu2rjna,20,20,0,20
24,terra1v0k9r7csmknkcafvkem0kt4ul65qzpykjy9mpm,18,18,1,19
25,terra1emr8z0l5d42w5d2hz4gh0k03x2tnyp36zml9vp,18,0,0,18
26,terra1466ahezuy8r47mvd0qnvcjh8pqy22p9mqkj8sl,17,0,0,17
27,terra1jv2qj2qx0qndrs0qgxq8thq45z0w2uc733pwcq,17,17,0,17
28,terra130hnn9qh9naezd8q9p5cext6qse35ktxpqe07d,15,15,0,15
